gen,bestfit,pmean
0,8.74181007041232,8.4e+299
1,9.220030042226853,7.9e+299
2,8.84670523543106,5.999999999999999e+299
3,8.77260092294604,4.1e+299
4,8.84670523543106,3e+299
5,7.028987712424688,1.8000000000000004e+299
6,7.027793405607991,1.1e+299
7,7.025394196456296,5e+298
8,7.410933266112719,5e+298
9,7.030681444579817,2.0000000000000002e+298
10,4.547202627173997,5e+298
11,4.550310623817963,3.0000000000000003e+298
12,4.547202627173997,3.0000000000000003e+298
13,4.547202627173997,4.0000000000000003e+298
14,4.03573940361024,8.000000000000001e+298
15,4.03573940361024,8.000000000000001e+298
16,4.03573940361024,5e+298
17,3.7758069813784534,1.0000000000000001e+298
18,3.7758069813784503,2.0000000000000002e+298
19,3.43656821840847,4.497362505208623
20,3.43656821840847,5e+298
21,3.4365682184084703,4.0000000000000003e+298
22,3.0719973330212316,4.0000000000000003e+298
23,3.071692019501782,3.6511269598710667
24,3.071692019501782,3.0000000000000003e+298
25,3.068344023549418,1.0000000000000001e+298
26,2.9987729984990903,3.0000000000000003e+298
27,2.9967934014878805,2.0000000000000002e+298
28,2.9967934014878805,2.0000000000000002e+298
29,2.965403936916866,6.000000000000001e+298
30,2.8726917465106188,3.194264336841853
31,2.6959704439711283,3.1440986289806236
32,2.695970443971116,1.0000000000000001e+298
33,2.695970443971116,3.0642411535205616
34,2.7602407362906285,3.0524949796603944
35,2.7602407362906285,3.0116064927133412
36,2.7602407362906285,1.0000000000000001e+298
37,2.7602407362906285,2.0000000000000002e+298
38,2.750478792048622,3.0000000000000003e+298
39,2.6536269741421146,3.0000000000000003e+298
40,2.6536269741421146,2.870537298073087
41,2.6536269741421146,2.851692448349967
42,2.653626193171426,2.879104752290037
43,2.6063522810518975,2.0000000000000002e+298
44,2.6329624492582093,1.0000000000000001e+298
45,2.5619906216872224,2.7656433229774375
46,2.5619906216872224,2.776449198445038
47,2.561234307249648,2.790895111758947
48,2.561234307249648,2.78326132316763
49,2.561234307249648,2.743651283348454
50,2.561234307249648,2.752681899766212
51,2.3924244819221974,3.0000000000000003e+298
52,2.3924244819221974,1.0000000000000001e+298
53,2.3924239584840987,1.0000000000000001e+298
