expolim,max_terms,rmse_test,mae_test,nmse_test,expr
1,2,3.212197616137969,2.430410882994782,0.017172949453314084,97.142262*sqrt.abs(x1^-1 * x2 * x3^-1 * x4 * x6) + -26.147724*log(x0^-1 * x2^-1 * x3^-1 * x4^-1) + -300.3053483180783
1,4,2.356101579185398,1.73942696746578,0.009290730133940116,-22.27902*log(x2^-1 * x4^-1) + 12.485025*sqrt.abs(x0 * x1^-1 * x3 * x4 * x6) + -1.902923*cos(x0^-1 * x3 * x4^-1) + -3.672168*cos(x0 * x1 * x2 * x3 * x4^-1) + -145.6646464877778
1,6,1.9853694854968709,1.6518568642665503,0.006560115586556646,87.562935*log(x0^-1 * x1^-1 * x3 * x4^-1) + -7.667097*sqrt.abs(x0 * x1 * x3) + -3.992735*sin(x0^-1 * x3) + 886.722302*log(x0 * x1 * x3) + -4.925292*sin(x1 * x2 * x3^-1 * x4^-1) + 2.915048*sqrt.abs(x0 * x1 * x3^-1 * x4 * x6) + -7552.762201133201
1,8,1.8946651639252519,1.4129233182898535,0.006012574748010625,-26829467.03503*exp(x1^-1 * x2^-1 * x4) + -20327.724423*sin(x2^-1) + 1.205673*sin(x0 * x1 * x4 * x6) + 54381.51919*tanh(x0 * x2^-1 * x4) + 8.496831*sin(x0 * x2 * x3^-1 * x4) + 12992072.442946*id(x0 * x1^-1 * x3^-1 * x4^-1 * x6) + 4.13099*cos(x0^-1 * x1 * x2^-1 * x3 * x4^-1) + 123.90299*cos(x0 * x1^-1 * x2 * x4^-1 * x6 * x7) + 26829415.219209854
1,10,1.9620039106362808,1.5948670257355195,0.006485333062886563,-1.351405*sin(x1 * x4) + 165.419926*sqrt.abs(x0 * x1 * x2^-1 * x3^-1 * x6) + -1.511879*sin(x0 * x1 * x2 * x3^-1 * x6) + 33.435966*log(x0^-1 * x4) + -0.50315*cos(x0 * x1 * x2 * x3 * x7) + 2.330538*cos(x0^-1 * x1 * x3 * x4^-1) + 4.009123*sqrt.abs(x0^-1 * x1 * x2^-1 * x4 * x5^-1) + -3.174629*tanh(x1 * x2^-1 * x5 * x6) + 4.83007*log(x1^-1 * x2 * x4^-1 * x5) + -1.088861*tanh(x1 * x2^-1 * x4^-1 * x5^-1 * x7) + -45.79218454371512
2,2,3.0119758227744002,2.174325226681216,0.015173202382758532,1.8e-05*id(x0 * x1^2 * x4) + 89.692693*sqrt.abs(x0 * x1 * x3^-2 * x6) + -11.552861437435087
2,4,2.2921889387947174,1.87159153842759,0.0088185966472625,4.153363*cos(x0^2 * x1 * x2 * x4) + 57975296.134136*sqrt.abs(x0 * x1^-2 * x2^-1 * x3^-2 * x4^-1 * x6) + -24.184598*cos(x3) + 122.795148*cos(x1 * x2^-1 * x3^-1 * x4^2) + -88.11328464101483
2,6,2.0529978292538646,1.6553673732736818,0.007072799749261824,-628.37531*log(x2^-1 * x3 * x4^-1 * x5) + -3.455672*cos(x1 * x2 * x3 * x4^-1) + 3.803107*sqrt.abs(x0^2 * x1^2 * x3^-2 * x6) + -486.458045*log(x1^-1 * x2 * x3^-1 * x5^-1) + -142.410859*log(x0^-2 * x1 * x2 * x3^-1 * x4 * x5^-1) + -3992.211935*exp(x0^-1 * x1^-1 * x4^2) + 1330.365776954809
2,8,1.6804305465645542,1.220705492482251,0.004733930292082339,1.623055*sin(x0 * x2) + 1.605577*sin(x0^-2 * x3 * x4) + -5.089592*sin(x0 * x2 * x3) + -55742.660828*exp(x0^-1 * x2^-1) + -76.143414*log(x0 * x2 * x3^-1) + 0.79026*id(x0^-1 * x2^-1 * x3^2) + 783842.105279*sqrt.abs(x0^-1 * x1^-1 * x2^-1 * x3^-2 * x6) + 375.507887*sqrt.abs(x3^-1 * x4^2) + 55746.30106680529
2,10,1.6818666829964732,1.1706989079220065,0.004739427606851174,-6.018963*sqrt.abs(x2 * x4^-1) + -3.497937*cos(x1^2 * x2) + -48808365.642073*sin(x1^-1 * x2^-2 * x4) + -3.898324*cos(x0^2 * x2 * x3^2 * x4) + 1.623502*sin(x0 * x1 * x3) + 1.941395*tanh(x0^-1 * x1 * x2 * x3^-1 * x4 * x5 * x6^2 * x7) + -14122.853597*sqrt.abs(x2^-2) + 0.410745*cos(x1 * x2 * x3) + 17.298057*sqrt.abs(x0^2 * x1^2 * x2^-1 * x3^-2 * x4 * x5 * x6^2) + 9.743045*exp(x0 * x1^-1 * x2 * x5^-1) + 107.3746932745953
