expolim,max_terms,rmse_test,mae_test,nmse_test,expr
1,2,30.803910749982638,24.072678337088323,0.008093341376941787,-547.771024*log(x0 * x11 * x12^3 * x13^2 * x15^-2 * x19^-3 * x24^-3) + 350.06287*log(x0^-2 * x11^-3 * x12^2 * x13^2 * x14 * x15^2 * x19^2 * x20^2 * x22^2) + 40.282166*log(x1^-2 * x2 * x5^-2 * x6^-2 * x9^-2 * x10 * x11^-2 * x12^2 * x13^2 * x15^2 * x17^-2 * x20^-2 * x22^2 * x23^-2) + -2.362025*sqrt.abs(x0^-2 * x1^2 * x2^3 * x5 * x6^2 * x7^-1 * x8^-1 * x9^2 * x10^2 * x11^2 * x12^-2 * x13^-2 * x14^-2 * x15^-2 * x17^2 * x19^-2 * x22^-2 * x23^2 * x24^2) + 570.69315*log(x0 * x14 * x19 * x20^-2 * x24^-2) + 0.089029*sqrt.abs(x0^-3 * x1 * x2 * x5 * x6 * x8^-1 * x9 * x10 * x12 * x13^-1 * x14^-3 * x15 * x17 * x19^-1 * x20 * x22^2 * x23) + 20600134.171873*sqrt.abs(x0^2 * x12^-2 * x13^-3 * x14 * x20^-1 * x24^-2) + 186.000706*log(x4^-3 * x5 * x10 * x11^-3 * x24^-1) + -8332.184130321915
1,4,31.139484386569162,24.515130110525593,0.008283596482506905,-124.671329*log(x0 * x1^2 * x2^-1 * x3^-1 * x5 * x8^3 * x9^-1 * x10^2 * x11^2 * x14^-2 * x15^-2 * x19 * x20^2 * x21^-2 * x24^-1) + -151.866901*log(x0 * x3^-1 * x4^-1 * x5^-1 * x6^-1 * x7^-1 * x8 * x11 * x13^-2 * x16 * x17^-1 * x20 * x22^-3 * x24^-1) + -141.332421*log(x0^2 * x2^-1 * x3^2 * x4^2 * x6^-2 * x10^-1 * x11^2 * x12^2 * x13^-2 * x14^-2 * x15^2 * x20^-1 * x22^-2) + -2.383725*sqrt.abs(x0 * x2^-1 * x3 * x4 * x6^-1 * x9^-1 * x11 * x13^2 * x14^-1 * x17^-1 * x19 * x21 * x22^-1 * x23^-1) + -70.570244*log(x0^3 * x1^-3 * x2 * x5^-1 * x8^-2 * x9^2 * x10^-1 * x11^-2 * x13^3 * x14 * x15 * x16^-3 * x17^3 * x19^-1 * x20^-2 * x21 * x22^-3 * x24^2) + -25.963158*log(x0^2 * x1^-2 * x3^-1 * x6^2 * x7^2 * x8^-2 * x9 * x10^-1 * x11^3 * x12^-1 * x13^2 * x14 * x15^-2 * x21^2 * x22^2 * x23^-1 * x24) + 0.000436*sqrt.abs(x0 * x1 * x2^-2 * x3^-1 * x4^2 * x6^2 * x7^-1 * x8^2 * x9^-1 * x10^-2 * x11 * x14^-1 * x17^-2 * x19^2 * x20^2 * x21^-2 * x22^2 * x23^2 * x24^-2) + 30140222708.510685*exp(x0^-1 * x1^-1 * x2^2 * x3^2 * x4^-2 * x5^-1 * x7^2 * x8^-1 * x9^3 * x12^-3 * x13^-1 * x15 * x17 * x20^-2 * x21^2 * x23^-2) + -30140223960.407715
1,6,29.43475464106773,22.770205897809053,0.007400492686846056,274.603395*log(x0^-2 * x2^-1 * x3^2 * x4^2 * x7^2 * x8^2 * x10^-1 * x12^-3 * x14 * x15^3 * x16^-1 * x17^-1 * x19^-2 * x20^-1 * x22^-1 * x23^-1 * x24^2) + -860.674779*log(x0 * x1 * x2^-1 * x3^2 * x5 * x6 * x7^2 * x8^2 * x11 * x16^-1 * x19 * x21^-2 * x24^-1) + 575347962.571184*sqrt.abs(x0^-1 * x1^-2 * x2^3 * x3^-2 * x4^-1 * x5^-2 * x6 * x7^-1 * x8^-1 * x10^-2 * x12^-1 * x13 * x14 * x15^-1 * x17^-1 * x19^-1 * x20^-1 * x22 * x23 * x24) + 1493.281563*sqrt.abs(x0 * x1^2 * x2^-3 * x3^-2 * x5^2 * x6^-2 * x7^-1 * x10^-2 * x12^-2 * x15 * x17 * x19^3 * x20 * x21^-1 * x22 * x23 * x24^-2) + 903.929081*log(x0^2 * x1 * x4^-2 * x5 * x6 * x10^2 * x11 * x12^-2 * x13^-1 * x14^-2 * x15^3 * x17^2 * x19^2 * x20^2 * x21^-1 * x22^2 * x23^2 * x24^-1) + -420.053059*log(x0^2 * x3^-1 * x4^-1 * x7^-1 * x8^-1 * x10^2 * x11^3 * x12^3 * x14^-2 * x15^2 * x17^3 * x19^2 * x20 * x21 * x23 * x24^-2) + 143.308129*log(x3^2 * x4 * x7^-1 * x8^2 * x13^-2 * x14 * x21 * x22^-1 * x23^-3) + -255.313023*log(x0^2 * x2^2 * x3^-2 * x4^-2 * x7 * x8^-2 * x12 * x13^-3 * x14^-2 * x15^-2 * x16^2 * x17 * x19^2 * x20^-1 * x21^2 * x22 * x23) + 2490.3819590631206
1,8,29.237502316108788,22.65682343739509,0.0072993593526805905,550.881966*log(x0^-2 * x2 * x3^2 * x4^-2 * x5 * x6 * x7 * x8 * x9^2 * x10^2 * x11^-2 * x12^-1 * x13 * x15^2 * x16^2 * x17 * x19 * x20 * x21^-1 * x22^2 * x24^2) + 4.323218*log(x0 * x2^-2 * x3^-1 * x4^2 * x5^-2 * x6 * x7^-2 * x8^2 * x10^-1 * x11^-1 * x12^2 * x17^-2 * x19^-1 * x20^-2 * x21^3 * x23^-2 * x24^-1) + -95857.613653*cos(x0^-1 * x3^2 * x4^3 * x6^-1 * x8^2 * x10^-1 * x11 * x12^-2 * x15^-2 * x16^-1 * x19^2 * x22^-2 * x23^-1 * x24^2) + -244.332717*log(x3^2 * x4^-2 * x8^2 * x10^2 * x11^-1 * x12^-1 * x15^-3 * x16^2 * x19 * x20^2 * x22 * x23^2 * x24^2) + -578.738671*log(x2 * x3 * x6 * x7 * x9^2 * x10 * x11^2 * x15^-2 * x16 * x17 * x19^-3 * x20 * x21^-1 * x22^-1 * x23^-1 * x24) + 874309716.737722*tanh(x0^3 * x3^-1 * x8^-1 * x10^-1 * x15 * x16^-1 * x20^-2 * x22 * x23^-1 * x24^-1) + -111497286.31981*id(x2^-1 * x3^-1 * x4 * x5^-3 * x6^-3 * x7^-1 * x9^2 * x12^2 * x16^-1 * x17^-1 * x19^-1 * x20^2 * x21^2 * x22^-3 * x23^2 * x24^-1) + -237300.057884*sqrt.abs(x0^2 * x2^-1 * x4^2 * x5^-1 * x6 * x7^-1 * x8^-2 * x9^-2 * x11^-2 * x12^2 * x16^-3 * x17^-1 * x19^-1 * x20^-1 * x21^2 * x23) + 79697.69798276319
1,10,31.17142782531879,24.528484939388214,0.008303504036678153,310.883343*log(x0^-1 * x2^-1 * x3^-1 * x7 * x8 * x10 * x11 * x12^-1 * x13 * x15^-1 * x17 * x19^-1 * x22 * x23^-1 * x24) + -5.435442*log(x0^3 * x1^3 * x2 * x3^-1 * x4^2 * x5^2 * x6^-2 * x7 * x8 * x9^-3 * x10^-3 * x11^2 * x12 * x13^-1 * x14^3 * x16^-3 * x17^-1 * x18^2 * x19^3 * x20^-2 * x21 * x22^-2 * x23^-3) + -61.520925*log(x0^2 * x1^-2 * x3^-1 * x4^-2 * x5^-1 * x7 * x10 * x11 * x12^3 * x13^2 * x14^-2 * x15^2 * x16 * x17^-1 * x19^2 * x20^-2 * x21^-1 * x22^-3 * x23^-3 * x24) + 182.668755*log(x0^-2 * x1^-1 * x2^2 * x4^-2 * x5^-2 * x6 * x10^2 * x12^-2 * x13^-1 * x14^3 * x15^3 * x16 * x17^-2 * x19^-3 * x20^-1 * x22^3 * x23^2 * x24^-2) + 955944530350.7294*sqrt.abs(x0 * x1^3 * x3^-2 * x5^-3 * x6^3 * x8^-3 * x9^3 * x10^-2 * x11^3 * x12^-1 * x13^-2 * x15^-2 * x16^-1 * x17^-3 * x18^2 * x20^-3 * x21^-2 * x22^2 * x23 * x24^-1) + 45.406399*log(x1^2 * x2^-1 * x3^2 * x4^-2 * x5 * x6^-1 * x8^-1 * x11 * x15^-1 * x16^-1 * x17^2 * x19 * x20^3 * x22^-1 * x24^2) + 0.004183*id(x0^-2 * x1^2 * x2^2 * x3^-3 * x4^-2 * x5^-2 * x6 * x7^-1 * x8^-1 * x10^2 * x11^2 * x12^-2 * x13^-1 * x15^2 * x16 * x17^-2 * x20^-1 * x22^2 * x23^2 * x24^-1) + 39478734654.93118*sqrt.abs(x0^2 * x1^-2 * x2^-2 * x3^-3 * x4 * x6^-3 * x7^-2 * x8^2 * x13^-2 * x14^2 * x15 * x16^-2 * x17^-2 * x20^-2 * x21^-2 * x22 * x23^2 * x24^-2) + -3593.5650421896407
2,2,33.14119530962155,25.745799148923048,0.009378333227129587,-842.839069*log(x0 * x1 * x2^-2 * x3^-2 * x4^-1 * x7^-2 * x9^-2 * x10 * x11^2 * x12^2 * x13^-1 * x15^-2 * x16^-1 * x17^-1 * x18^-2 * x19 * x20^-1 * x21^-1 * x22^-1 * x23^-2 * x24^-2) + -48.01945*log(x0 * x1^-2 * x2^-1 * x3^2 * x4^-1 * x5^2 * x6^-1 * x7^2 * x8^2 * x9^2 * x10^-1 * x11^-2 * x12^2 * x13 * x14^-2 * x17 * x18^2 * x19^-1 * x20^2 * x21 * x22^-2 * x23^3 * x24^2) + 0.0*id(x0^2 * x2^-2 * x3 * x5^2 * x7 * x10^-2 * x11^2 * x14^-1 * x15 * x16 * x17^2 * x21 * x24) + -54.736749*log(x0^-3 * x1^-1 * x3 * x4^2 * x5^2 * x6^-1 * x7 * x8^2 * x9 * x10^-2 * x13 * x15^-3 * x16 * x18^2 * x19^-2 * x20^3 * x21 * x22^-1 * x23 * x24) + 746.834009*log(x0^-1 * x1 * x3^-2 * x4^-1 * x5^-1 * x7^-2 * x8^-1 * x9^-2 * x12^-2 * x13^-1 * x15^-2 * x16^-2 * x17^-1 * x18^-2 * x21^-1 * x22 * x24^-2) + 376.519934*log(x0 * x2^-2 * x5^2 * x8^2 * x10^2 * x11^-2 * x12^2 * x16^2 * x19^2 * x20^-1 * x22^-2 * x23^-2) + 0.00706*sqrt.abs(x1^-2 * x2^-1 * x3^2 * x4 * x5 * x7^2 * x8^-2 * x9^-2 * x10^-1 * x12^-2 * x13^-1 * x14^-2 * x15^2 * x16^2 * x17^2 * x18^2 * x21 * x22^2 * x24^2) + 2617.498554*id(x0^2 * x1^2 * x2^2 * x3^-3 * x4^-2 * x5^-3 * x8^3 * x9^2 * x11^-1 * x12^2 * x13 * x14 * x16^2 * x17^2 * x18^-1 * x19^-3 * x20^-2 * x21^-1 * x22^-1 * x23^-1 * x24^-3) + 12747.12738050727
2,4,31.87844991650725,25.208352885241805,0.008679514620723566,99.062007*log(x0^-2 * x2^-3 * x3^-2 * x5^3 * x6^2 * x7 * x9^-3 * x10 * x11^-3 * x12^-2 * x13^2 * x14^3 * x15^-3 * x16^-2 * x17^-1 * x19^3 * x20^-2 * x21^-1 * x22^3 * x23^-2) + 75.303866*sqrt.abs(x0^-2 * x1 * x2^-2 * x4^-3 * x5^2 * x9 * x11^-2 * x12^2 * x14^-1 * x16^2 * x17 * x20^-2 * x21^2 * x22^3 * x23^-1) + -16557728687329.701*id(x1 * x2^-1 * x4^-1 * x10^-1 * x12^-1 * x14^-1 * x19^-1 * x21^2 * x23^-2) + -114.813432*log(x2^-1 * x5^-2 * x9^-1 * x11^2 * x14^-1 * x16^-2 * x19^-1 * x20^-1 * x22^-1 * x23^-2) + 2265705384.727511*sqrt.abs(x0^-3 * x1^3 * x2^-2 * x3^-2 * x4^3 * x5^-3 * x6 * x7^-2 * x9^3 * x10 * x11^2 * x12^-3 * x13^-1 * x14^3 * x15^2 * x16^-3 * x17^-3 * x18 * x19^-3 * x20 * x21^-2 * x22 * x23^-3 * x24^2) + -0.094694*sqrt.abs(x2^-2 * x3^2 * x5^-1 * x6^2 * x9^-2 * x10^3 * x11^-2 * x12^2 * x13 * x14^-2 * x15 * x16^-1 * x17 * x18^2 * x19^-2 * x20^2 * x22^-2 * x23^-1 * x24^2) + 303093850.5569*exp(x0^-2 * x1^-1 * x3^3 * x4^-1 * x5^2 * x6^2 * x8^-3 * x11^-3 * x12^-1 * x13^-1 * x16^-2 * x17^2 * x18 * x23^2 * x24) + -33.780372*log(x0^2 * x1^-1 * x2^2 * x3 * x4 * x5^-1 * x7 * x9^-2 * x11 * x12^2 * x16^-1 * x19^-1 * x20 * x21^-2 * x22^-2 * x23^-1) + -303096126.84065866
2,6,29.591114797891674,22.90808599187039,0.007476189039846751,191.255611*log(x0^2 * x2^2 * x3 * x4^2 * x5 * x7^-2 * x8 * x11^-2 * x13^2 * x15^-2 * x16^-1 * x17^-3 * x19^-1 * x20^-1 * x21 * x23^-1 * x24^-1) + -148.435215*log(x0^-2 * x2^-1 * x3^2 * x4^-2 * x5^2 * x7^2 * x8^-1 * x10 * x11^2 * x13^-1 * x14^-2 * x16 * x19^-3 * x20 * x21^2 * x22^2 * x23^2 * x24) + -384.841572*log(x0^-1 * x2^2 * x3^3 * x4^2 * x5 * x7 * x8^-1 * x11^-2 * x13^2 * x16^-1 * x19^2 * x20^-1 * x21 * x22 * x23 * x24^2) + -557.539496*log(x0^3 * x2 * x3^-2 * x5^-2 * x6^-2 * x7^-2 * x8^2 * x11^3 * x12^2 * x13 * x14^-1 * x15^-1 * x17^-1 * x19^-2 * x21^-1 * x22^-3 * x23^-2 * x24^-2) + -482.281685*cos(x0^3 * x1^-2 * x2 * x3^-1 * x4^-3 * x6^3 * x7^-1 * x8^-3 * x9^3 * x10^-1 * x11^-1 * x12^3 * x13^-3 * x14^-3 * x16^3 * x17^3 * x21^2 * x22^-1 * x23^-1 * x24^2) + 0.002546*sqrt.abs(x0^-2 * x3^2 * x4^-2 * x5^2 * x6 * x7^2 * x11^-1 * x14^2 * x15^2 * x17^2 * x19^-3 * x20^2 * x22 * x23^-2) + 9.297588*id(x0^-2 * x1^2 * x2 * x3^-1 * x4^-1 * x5^-2 * x6^-1 * x8 * x10^-2 * x11^2 * x12^3 * x13^2 * x15^-2 * x16 * x17^-2 * x18 * x19^-1 * x20^-1 * x21^-1 * x22^2 * x23 * x24^-1) + 8.047682*sqrt.abs(x0^2 * x2^2 * x3 * x4^2 * x5^-1 * x6^-1 * x7^-1 * x8^2 * x10^-1 * x11 * x13^2 * x15^-2 * x16^-1 * x19^-1 * x21^-2 * x24^-1) + 5865.808787557502
2,8,30.425450083311897,24.13874032094081,0.007906810342239064,-13.211129*sin(x22) + 183.841948*log(x1^-1 * x2^-1 * x3^-1 * x5^3 * x6^2 * x7^2 * x8 * x11^2 * x12^-2 * x14^-2 * x15^2 * x21^-1 * x23 * x24^-1) + 451.134203*log(x22) + 845848.52284*tanh(x0 * x1 * x2^-3 * x3^-1 * x5^-3 * x6^-1 * x7 * x8 * x9 * x10^2 * x11 * x12^2 * x13^-1 * x14^-3 * x15 * x17^-1 * x19^-3 * x20^2 * x21^-2 * x22^2 * x23^2 * x24^-3) + 101.263408*log(x0^-2 * x1^2 * x3^-1 * x4 * x5^2 * x6^2 * x7^-2 * x8^2 * x10^2 * x11^-2 * x13 * x14^2 * x15^-2 * x16^-2 * x17^-1 * x19^2 * x20 * x21^-1 * x22^2 * x23^-1) + -24.74599*log(x2^3 * x3^-3 * x4 * x5 * x6^-1 * x7^-1 * x8^2 * x9^-1 * x10^-1 * x11^2 * x13^3 * x14 * x15^-1 * x16^3 * x21^-1 * x22^-2 * x23^-2 * x24) + 0.065435*sqrt.abs(x0 * x2 * x4 * x5 * x6^-2 * x8 * x10^-1 * x11 * x12 * x13 * x14 * x16^-2 * x17^-1 * x20 * x21^-2 * x22^3 * x23^-1 * x24^-1) + 212.46256*log(x0^-2 * x2^-2 * x4^-2 * x5^-2 * x6^2 * x8^-2 * x10^-1 * x11^-2 * x12^-3 * x13^-2 * x14^3 * x16^2 * x17 * x20^-2 * x21^2 * x24) + 2150.0732881527074
2,10,30.21870318734078,23.07095161857133,0.007789426797569446,-539.175863*log(x0^2 * x2^-2 * x3 * x5^-2 * x6 * x7^-1 * x9^-1 * x10^2 * x11^-1 * x12^-3 * x14 * x15^-2 * x19^-3 * x20^-1 * x21^-2 * x22 * x23^-1 * x24^-1) + -530.361877*log(x0^-1 * x2^2 * x3^-2 * x5^2 * x6^-2 * x7 * x9 * x10^-1 * x11^2 * x12^3 * x14^-2 * x15^2 * x19^-3 * x20 * x21^2 * x22^-2 * x23 * x24) + 159.954344*log(x1 * x2^-2 * x4^2 * x6^2 * x10^2 * x12^-1 * x13^2 * x14 * x15^3 * x17^2 * x19^2 * x21^-1 * x22^3 * x23^-2 * x24^-2) + -407.285309*log(x0 * x1 * x3^2 * x4^2 * x5^-2 * x6 * x7^-1 * x9^-1 * x11^3 * x12^-1 * x13^2 * x14^-2 * x17^2 * x20^-1 * x21^-1 * x22 * x23^-2 * x24^-2) + -70.898605*log(x0^2 * x1^-1 * x2^2 * x3^-1 * x6^-3 * x10^-2 * x11^3 * x12^2 * x13^-2 * x14^2 * x15^2 * x17^-2 * x19^-2 * x22 * x23 * x24) + -162.001698*log(x1^-1 * x2 * x4 * x6^-2 * x7^2 * x9^2 * x10 * x11^2 * x12 * x13^-2 * x14^2 * x15^-2 * x17^-2 * x19^-2 * x20^2 * x21 * x22^-2 * x23^2 * x24^2) + 0.013117*sqrt.abs(x0^2 * x2 * x3 * x4^-1 * x5^-2 * x6^-1 * x7^-1 * x9^-1 * x10^-2 * x11 * x14^-1 * x15^3 * x19^2 * x20 * x21^-1 * x22^3) + 21.117978*log(x0 * x1^2 * x3^2 * x4^-1 * x5^-2 * x10^3 * x12^-1 * x13 * x14^-1 * x17 * x19^-1 * x23^-2) + -17839.872063625324
