expolim,max_terms,rmse_test,mae_test,nmse_test,expr
1,2,0.6449121992160924,0.5063277886273297,0.013018928326639471,0.892096*tanh(x0^2 * x1^-2 * x4^2 * x5^2 * x6^-1 * x7^-2 * x9^2) + -1.572194*sqrt.abs(x6^-2 * x8 * x9^-3) + 0.082548*log(x0^-2 * x1^2 * x5^-2 * x6^-1 * x9^-2) + 0.117056*log(x0 * x1^-1 * x4^-3 * x5 * x6^-1 * x7^2 * x9) + -0.729493*log(x0^-1 * x1^2 * x4^-1 * x5^-1 * x6^2 * x7^2 * x8 * x9^-1 * x10^-3) + 57.065041*exp(x0^-1 * x1 * x4^-1 * x5^-1 * x6 * x7^-2 * x9^-1 * x10^-3) + 0.138677*log(x1^3 * x7 * x8^-3 * x9^3 * x10^-1) + 0.589684*log(x0^-1 * x1 * x4^-1 * x5^-1 * x6^2 * x7^3 * x9^-1 * x10^3) + -59.08614304276239
1,4,0.6541403845691072,0.5006117739847339,0.013379033109601509,-0.315914*sqrt.abs(x7^-3 * x8 * x9^-2 * x10) + -0.879472*tanh(x0 * x1 * x6 * x7^-2 * x8^-3 * x9^3 * x10^-1) + -46727.831163*sin(x1^3 * x3^2 * x4^-1 * x5^-1 * x6^-2 * x7^2 * x9^3 * x10^-3) + -0.089106*cos(x0^-1 * x3^3 * x4^2 * x5^3 * x7^-1 * x8^-1 * x9 * x10^-1) + -0.041385*log(x0^3 * x1^-1 * x3^-3 * x4^2 * x5 * x6^2 * x7^-3 * x8^-2 * x9^-1 * x10^3) + 0.73408*log(x0^-2 * x1^-2 * x7^-3 * x8^-2 * x9^-2 * x10) + 1.306566*log(x0 * x1 * x7^-1 * x10^3) + 0.000247*id(x0^2 * x1^-2 * x2^2 * x3^-1 * x4^-3 * x5^3 * x6^-2 * x7^3 * x8^-1 * x10^-3) + -0.1563478011394226
1,6,0.8551248369588649,0.5276692140583412,0.022957975430300846,0.079504*cos(x0^-2 * x3^2 * x5^3 * x6^-3 * x7^-1 * x8^-1 * x9^-1 * x10^3) + -1.558221*log(x1^2 * x3^-2 * x4^2 * x5^-2 * x6^2 * x7^3 * x9^-1) + -1.362883*cos(x0^-2 * x1 * x3^3 * x4^-1 * x5^2 * x6^-3 * x7^2 * x8^3 * x9^2 * x10^-1) + -26.860586*sqrt.abs(x7^2 * x9 * x10^-1) + 1.500282*log(x1^2 * x3^-2 * x4^2 * x5^-2 * x6^2 * x8^-1 * x9^2) + -74.825154*id(x0^-2 * x1^2 * x3 * x4^-1 * x6^-2 * x8) + 0.092221*log(x0^-1 * x1^-2 * x4^-1 * x6^-2 * x7^-2 * x8^2 * x9^-3 * x10^-2) + -0.0*exp(x0^2 * x1 * x2 * x3 * x4^-2 * x6^-1 * x7^-3 * x8^2 * x9^-1 * x10^-3) + 17.79585860988112
1,8,0.6471550054876539,0.4985817196672943,0.013077834510322522,0.388251*log(x0^2 * x1^-2 * x3 * x5^2 * x6^-1 * x7^2 * x8^-1 * x9^2 * x10) + -0.112131*log(x1^-1 * x3^2 * x4^-2 * x6^2 * x10) + 0.087304*log(x1^3 * x3^3 * x4^3 * x5 * x6^3 * x7 * x8 * x9 * x10^2) + -9.276968*id(x1^3 * x3^2 * x4^-1 * x5^-1 * x6^-3 * x8^-2 * x9 * x10^2) + -5.60577*sqrt.abs(x3 * x7^2 * x8^-2 * x9^3 * x10^-1) + -81.898686*sqrt.abs(x0^-2 * x1 * x3^-1 * x4^-1 * x5^-1 * x6^-1 * x7^2 * x8^-2 * x9^-1 * x10^-1) + 0.055097*sqrt.abs(x0^-2 * x1 * x3^-2 * x5^-2 * x6^2 * x7^-2 * x9^-2 * x10^2) + -0.750599*log(x0 * x4 * x5 * x7 * x8^2 * x9^-1 * x10^-3) + 2.273389668350704
1,10,0.6719936730671789,0.5143832350763555,0.014094853273223396,-0.421544*log(x1^2 * x3^-2 * x4^2 * x6 * x7^-2 * x8^3 * x10^-3) + 0.509524*log(x0^2 * x1^-2 * x3^-2 * x5 * x6^-1 * x7 * x8^-1 * x9^3 * x10^3) + -2.3e-05*sqrt.abs(x0 * x2 * x4 * x6^3 * x7^2 * x9^2 * x10^3) + 0.598923*cos(x0 * x3^-2 * x4 * x7^-2 * x8 * x9) + -0.302533*log(x1^-2 * x4^-2 * x6^-1 * x7 * x8^2 * x10^-2) + 0.00079*sqrt.abs(x1 * x3^2 * x4^-1 * x5^-1 * x6^2 * x7^-1 * x9^-3) + -27.21198*id(x1^2 * x3 * x5^-1 * x6^-1 * x7^2 * x8^-1 * x9^-1) + 0.422492*log(x0^-2 * x1^2 * x4 * x5^-1 * x6 * x7^-3 * x8^2 * x9^-1) + -0.04937173543857387
2,2,0.6590164776252689,0.5218246023267631,0.01356969410789682,-0.101779*sin(x0^3 * x1^-2 * x2^2 * x3 * x4^2 * x5 * x6 * x8^-2 * x9 * x10^2) + -882.217561*sin(x1^2 * x2 * x3^3 * x4^-1 * x5^-2 * x6^-1 * x7^-1 * x8^-1 * x9^-2 * x10^-3) + 0.414362*tanh(x0^2 * x1 * x2^-3 * x3 * x4^-2 * x6^-3 * x7^-2 * x8^-3 * x9^-3 * x10) + 0.470555*log(x0^-1 * x1 * x8^-1 * x9^-1 * x10^-2) + -7.438895*sqrt.abs(x0^-3 * x1^2 * x3 * x6^-2 * x7^-1 * x8^-2 * x9^-2 * x10^3) + 0.183896*sqrt.abs(x0^-1 * x1^-1 * x3^2 * x4^-1 * x5 * x6^-3 * x7 * x8^-2 * x9 * x10^3) + 0.846376*log(x0^-1 * x1 * x3^2 * x8^-1 * x9^2 * x10^3) + 0.808437*log(x0^2 * x1^-2 * x3^-2 * x7^-3 * x8^2 * x9^-1 * x10^2) + -3.3074021538509673
2,4,0.6562879199209698,0.5148007566543316,0.013486091543856335,0.418054*log(x0 * x1 * x3^2 * x4^-2 * x6^-1 * x8^-2 * x9^2 * x10^-1) + 0.108935*log(x0^-2 * x3^-3 * x4^3 * x5 * x6^-1 * x7 * x8^-2 * x9^-1 * x10) + -1.764987*log(x7^2 * x10^-2) + 0.0*id(x0^2 * x1^-2 * x2^3 * x4^-1 * x5^2 * x7 * x9^-1) + -0.632699*log(x0^2 * x3^-1 * x4^-1 * x5 * x6 * x7^-1 * x8^2 * x9^-1 * x10) + -43.77731*sqrt.abs(x0^-2 * x1^2 * x3 * x4^-1 * x6^-1 * x8^-2) + -5e-06*sqrt.abs(x0^3 * x1^-1 * x2 * x3 * x4^2 * x6^3 * x7^-3 * x9^2 * x10^2) + 0.301093*log(x0 * x3^-2 * x4^-2 * x5^2 * x6^2 * x7 * x8 * x9^-2 * x10^2) + 3.8018899105727186
2,6,0.6548292852604101,0.5072419533318954,0.013410655405974845,-0.48284*sin(x0^-2 * x1^-2 * x2 * x3 * x5^-1 * x6^2 * x8^-2 * x10^-1) + -0.032855*sqrt.abs(x0 * x1^-1 * x2 * x3^-1 * x4 * x7^2 * x10^2) + -2.48981*sqrt.abs(x6 * x7^2 * x9^2 * x10^-3) + -0.144824*id(x0^3 * x1^2 * x3^-3 * x4^2 * x5^3 * x6^-2 * x7^2 * x8 * x10^-1) + -39.729684*sqrt.abs(x0^-3 * x1^2 * x3 * x5^-1 * x6^-2 * x7^-1 * x8^2 * x9^-2) + -0.544566*log(x1 * x7^2 * x8^3 * x9^-2 * x10^-1) + 0.227029*sqrt.abs(x7^2 * x10^2) + -10.703103*cos(x1 * x2 * x3 * x4^2 * x6^-2 * x7^-1 * x8^-1 * x9^-2 * x10^3) + 15.375632954465333
2,8,0.6489738726246288,0.5056076332836204,0.013181445133554091,0.780095*tanh(x0 * x1^-1 * x6 * x7^-1 * x9^2 * x10^-2) + -0.319657*log(x1^-1 * x6^-1 * x7^2 * x8^-1 * x10^-2) + -0.555999*log(x0^2 * x1 * x6 * x7^-3 * x8^2 * x9^-2 * x10^-1) + -0.080034*sin(x0 * x3^-1 * x4 * x5^-1 * x6^2 * x7^-2 * x9) + -2.34539*sin(x7^2 * x8^2 * x10^-1) + 0.153608*cos(x0 * x3^-1 * x4^3 * x5^-1 * x6^2 * x7^-1 * x8^-1 * x9^2 * x10) + -1760857.933411*id(x0^-2 * x7^-1 * x8^-3 * x9 * x10^-3) + -188.125023*sin(x0^-2 * x1^2 * x6^-2 * x7 * x8^3 * x9) + 9.028362851383962
2,10,0.6526813153839891,0.5130012176904296,0.013323633196624182,-1.049662*log(x0^2 * x1^-1 * x3^-1 * x7 * x8^2 * x9^-1 * x10^-2) + 1.074345*log(x0^-1 * x1 * x3^2 * x6^-1 * x7^-2 * x8^-2 * x9^2 * x10) + 0.359366*log(x0^2 * x1^-1 * x3^-2 * x4^-1 * x6^2 * x8 * x9^-2 * x10^3) + -1.013888*log(x0^-2 * x1^2 * x3^2 * x7^-1 * x8^-2 * x9^2 * x10) + -0.0*id(x0^3 * x1 * x2^2 * x3^2 * x4 * x5^-1 * x6^2 * x7^-2 * x8^-1 * x9^2 * x10^3) + 485.300352*cos(x0^3 * x1^3 * x3^2 * x4^-2 * x5^-2 * x6^-2 * x7^-1 * x9^3 * x10^-3) + 0.512975*tanh(x0^3 * x3^-2 * x4^3 * x7^-1 * x8^2 * x9^2 * x10) + -6.214773*sqrt.abs(x0^-1 * x1 * x3 * x6^-2 * x7^-2 * x8^3 * x9^-2 * x10^-1) + -484.2853390180537
