expolim,max_terms,rmse_test,mae_test,nmse_test,expr
1,2,0.7740761248295244,0.6013537586410813,0.01726054204122365,0.343267*log(x0^-1 * x1^-1 * x4^-1 * x5 * x7 * x8 * x10^-1) + 0.347021*id(x7 * x10) + 0.5886457359264643
1,4,0.74948838272534,0.588835151953907,0.01615495611179657,-0.856234*log(x0 * x1 * x3^-1 * x4 * x5^-1 * x6 * x7 * x9^-1 * x10^-1) + -0.726803*log(x0^-1 * x3 * x5^-1 * x6^-1 * x7 * x8^-1 * x10^-1) + -0.042044*sqrt.abs(x5 * x6 * x8 * x10^-1) + -0.539614*log(x1^-1 * x4^-1 * x5 * x6^-1 * x7 * x8^-1 * x9 * x10^-1) + -5.698139537435276
1,6,0.7388185106259509,0.5778057778016279,0.015701621168359138,0.908772*sqrt.abs(x1 * x7^-1 * x8 * x10) + -0.664683*log(x1 * x4 * x5^-1 * x7 * x8^-1 * x10^-1) + -8.7e-05*id(x5 * x6 * x7^-1 * x8^-1 * x9^-1) + 86.788165*tanh(x4 * x7^-1 * x8^-1 * x9^-1 * x10^-1) + 1.403709*log(x1^-1 * x7^-1 * x8^-1 * x10) + -0.152199*sqrt.abs(x0 * x1^-1 * x3^-1 * x4^-1 * x5 * x6^-1 * x7 * x8^-1 * x9^-1 * x10^-1) + -7.720488670511449
1,8,0.7371319146035642,0.5741807312653837,0.015643287294674783,-1.570478*tanh(x0 * x4^-1 * x6^-1 * x8 * x10^-1) + -0.604748*log(x0^-1 * x3^-1 * x7^-1 * x8^-1 * x9 * x10^-1) + -0.403067*sin(x0^-1 * x1^-1 * x3 * x4 * x6 * x7 * x8^-1 * x10^-1) + 138.430795*sqrt.abs(x1 * x2 * x3^-1 * x4 * x5^-1 * x6^-1 * x7^-1 * x9 * x10) + 0.577582*log(x1^-1 * x3 * x4 * x6 * x7^-1 * x8^-1 * x9 * x10) + -39538.916529*id(x0^-1 * x1 * x4 * x5^-1 * x6^-1 * x8 * x9) + -4.377067*sqrt.abs(x0 * x3^-1 * x5^-1 * x7^-1 * x8^-1) + -1.248368*log(x3 * x4 * x6 * x7 * x8^-1 * x10^-1) + -0.7437654370860365
1,10,0.7298971859059783,0.5742789716009385,0.015331563777287057,-1.925379*log(x0^-1 * x1 * x4 * x5^-1 * x6 * x10^-1) + 1.386499*log(x0^-1 * x1 * x4 * x5^-1 * x6 * x7^-1 * x8 * x10) + 0.518528*log(x0^-1 * x5 * x6 * x7 * x10) + -0.002031*sqrt.abs(x0 * x5 * x6 * x8) + 0.143695*log(x0 * x1 * x4 * x5^-1 * x7 * x8 * x9 * x10^-1) + -0.190684*id(x3^-1 * x5 * x6^-1 * x8^-1 * x9^-1 * x10) + -0.61742*cos(x1^-1 * x3 * x4 * x5^-1 * x6 * x7 * x8^-1 * x9^-1 * x10^-1) + -4.5e-05*id(x0^-1 * x5 * x6 * x7^-1 * x8) + 72.724278*sin(x0^-1 * x2 * x3^-1 * x4 * x7^-1) + -0.036008*exp(x0^-1 * x1^-1 * x3 * x4 * x5 * x6^-1 * x7^-1 * x9 * x10) + -8.16205304638929
2,2,0.7870349872767455,0.6121144842408912,0.01785329975964273,-7.278233*sqrt.abs(x1^-1 * x4^-1 * x5 * x6^-1 * x7^-2 * x8^-2 * x10^-2) + 0.848214*log(x1^-1 * x4^-1 * x5 * x6^-1 * x7^2 * x10^2) + 0.3791312090401382
2,4,0.7388456042386806,0.5807661274627455,0.015704301732799818,-0.182802*log(x0^2 * x1^-1 * x3 * x4^-1 * x6^2 * x7 * x8 * x9 * x10^2) + 0.017611*id(x7^-2 * x10^2) + -0.071339*sqrt.abs(x0^-2 * x5^2 * x6 * x7^2 * x10^-2) + -0.330261*log(x0 * x1^2 * x3^-1 * x4 * x5^-2 * x6^-1 * x7^2 * x8^-2 * x9^-1 * x10^2) + 4.18511246346775
2,6,0.7316325638538743,0.5743963953799108,0.015387271833628487,-0.513122*tanh(x0^-1 * x1 * x2^-2 * x4^2 * x5 * x7^-2 * x8^2 * x9^-2 * x10^-1) + 7.123094*log(x7^-1 * x10) + -0.006945*sqrt.abs(x0^-1 * x2^2 * x5^2 * x6^2 * x8^-2 * x10^-2) + -4.406429*sqrt.abs(x0 * x1 * x5^-1 * x7^-1 * x8^-1) + -23501.233897*cos(x7^-2 * x10^-2) + 0.060971*log(x0^-2 * x1^-2 * x3^2 * x5 * x6^-1 * x7^-2 * x8^-1 * x9^2 * x10^-1) + 23490.39465167628
2,8,0.7255720714796534,0.5657513526951181,0.01515651581632243,-0.674827*tanh(x0^2 * x1 * x2^-2 * x3^-2 * x4^-1 * x6^-2 * x7 * x8^-1 * x9^-2) + 0.962981*log(x5 * x6^-1 * x7^-1 * x8^2 * x10^2) + -1.341496*exp(x5 * x6^-1) + 0.134924*log(x0 * x1^-1 * x4^-2 * x5^-1 * x6^2 * x7 * x8^-1 * x9^2) + -0.000787*id(x0^-1 * x1 * x5 * x6) + 0.00012*id(x0^-1 * x1 * x3 * x5 * x7^-1 * x10^2) + -102.577739*log(x7) + 0.066413*id(x0 * x1^-2 * x3^2 * x4 * x5^-1 * x6 * x7^-1 * x8^-2 * x10^-2) + -0.16305191818852993
2,10,0.7377449808329998,0.5809277508246478,0.015659124680649606,-0.668781*tanh(x4 * x5^-1 * x6 * x7^-1 * x8) + 393.36435*exp(x7^-1 * x8^-1 * x10^-1) + -5.173283*log(x0^-2 * x3^2 * x4^-1 * x5 * x6 * x7^-1 * x8^-1 * x9^-2 * x10^-1) + -0.064762*sin(x4^-1 * x5 * x6 * x7 * x8^-1) + -0.037999*sqrt.abs(x0^-1 * x4 * x5 * x6 * x7^2 * x10) + -3.914283*sqrt.abs(x0 * x1^2 * x4^-1 * x6^-1 * x7^2 * x8^-2 * x9^-2 * x10^-1) + 1.295431*sin(x1^-2 * x4^2 * x6 * x7^2 * x8^-2 * x9^2) + 5.242466*log(x0^-2 * x3^2 * x4^-1 * x5 * x6 * x7^-2 * x8^-1 * x9^-2 * x10^2) + -1.340179*tanh(x5^-1 * x7^-1 * x9 * x10) + -48.936791*sqrt.abs(x8^-1) + -408.40011764625274
