gen,bestfit,pmean,plen
0,4.7654189217520555,9.150000000000005e+99,7.505
1,4.7654189217520555,8.550000000000003e+99,7.72
2,3.9995085566275277,8.000000000000004e+99,7.715
3,3.8993213824154838,6.750000000000003e+99,7.86
4,3.9086512311942023,5.700000000000002e+99,7.81
5,3.9886771323544594,3.6000000000000016e+99,7.63
6,3.9886771323544594,1.9000000000000007e+99,7.645
7,3.951565923959331,8.000000000000001e+98,7.765
8,4.0076595714964505,3e+98,7.72
9,3.967700498238238,1e+98,8.015
10,3.909770094467058,1e+98,8.39
11,3.9039343809159943,1.5e+98,8.715
12,3.8287629873970705,1e+98,8.885
13,3.800579417067339,5e+97,9.055
14,3.800579417067339,5e+97,9.245
15,3.403949006823943,1.5e+98,9.25
16,3.371130727077775,1e+98,9.31
17,3.371130727077775,1e+98,9.39
18,3.1788621209550114,1e+98,9.435
19,3.1788621209550114,5e+97,9.5
20,3.178862120955011,1e+98,9.545
21,3.178862120955011,5e+97,9.47
22,3.178862120955011,1e+98,9.47
23,3.129549747423728,1.5e+98,9.55
24,3.1282553996900346,5e+97,9.545
25,3.1282553996900346,2e+98,9.525
26,3.0283926517819975,1e+98,9.6
27,3.00945672163916,3e+98,9.595
28,3.00945672163916,1e+98,9.43
29,2.9799645925433174,3.271729056032011,9.47
30,2.9799645925433174,1e+98,9.54
31,2.9443785567496947,1e+98,9.6
32,2.895733605675434,5e+97,9.6
33,2.895733605675434,3.133035012865846,9.65
34,2.895733605675434,3.0940061396741037,9.72
35,2.812686586525828,2.5e+98,9.75
36,2.8126865865258277,3.082107635152884,9.725
37,2.8126865865258277,2.5e+98,9.705
38,2.812686586525828,2e+98,9.72
39,2.812686586525828,3.06525223307052,9.645
40,2.812686586525828,1e+98,9.71
41,2.812686586525828,5e+97,9.71
42,2.812686586525828,5e+97,9.72
43,2.812686586525828,5e+97,9.765
44,2.7617835553292065,5e+97,9.75
45,2.7947763232512255,1e+98,9.695
46,2.7947763232512255,1.5e+98,9.62
47,2.781127568033602,5e+97,9.645
48,2.7617835553292065,2.9449447049015727,9.635
49,2.7695928889094312,5e+97,9.715
50,2.76201575370497,5e+97,9.75
51,2.7514141493172213,1.5e+98,9.815
52,2.7514141493172213,1.5e+98,9.795
53,2.7514141493172213,5e+97,9.845
54,2.7514141493172213,1.5e+98,9.795
55,2.7514141493172213,5e+97,9.79
56,2.7514141493172213,1e+98,9.725
57,2.7514141493172213,5e+97,9.68
58,2.660614259361812,5e+97,9.65
59,2.660614259361812,5e+97,9.65
60,2.6600032072788493,1e+98,9.625
61,2.660614259361812,2.887751399905157,9.62
62,2.660614259361812,1.5e+98,9.725
63,2.660614259361812,5e+97,9.72
64,2.699191385438759,5e+97,9.61
65,2.699191385438759,2.5e+98,9.715
66,2.699191385438759,5e+97,9.605
67,2.699191385438759,5e+97,9.545
68,2.636966125441244,1.5e+98,9.625
69,2.636966125441244,1.5e+98,9.595
70,2.636966125441244,2.800092113029531,9.66
71,2.599844893531556,2.856309961801415,9.675
72,2.689825710398885,5e+97,9.775
73,2.6930164431008703,5e+97,9.735
74,2.680604593589685,1e+98,9.735
75,2.656385464962443,5e+97,9.775
