gen,bestfit,pmean,plen
0,5.394652718833333,6.398830936837604,2.85
1,5.394652718833333,6.229229744152316,3.56
2,5.058308171545516,6.065862616631216,3.95
3,5.305201365348728,5.890465220342208,4.11
4,5.217401269481514,5.741353597078646,3.8
5,5.144752540595315,5.6107072670441145,3.7
6,5.144752540595315,5.513497038301733,3.49
7,5.144752540595315,5.437613226477693,3.51
8,4.940287622794414,5.360474489033098,3.53
9,4.940287622794414,5.284491775284993,3.9
10,4.598660546105098,5.214640074770804,4.17
11,4.598660546105098,5.167489618019767,4.26
12,4.598660546105098,5.097828026177951,4.85
13,4.884498446968906,5.088628265707889,5.02
14,4.876926617635614,5.042628948818653,5.43
15,4.869621760599845,5.004910531953478,5.75
16,4.865760067168017,4.960320433898236,6.06
17,4.616997553968799,4.9267412695131645,6.26
18,4.29054464569559,4.895233458061509,6.2
19,4.559798000382646,4.884853544088859,6.38
20,4.559798000382646,4.849586212509274,6.7
21,4.4898675507275865,4.82633959672756,6.68
22,4.415903218425863,4.782961913529158,6.57
23,4.329468990184587,4.724791670223243,6.65
24,4.266221499335352,4.656506613776115,6.4
25,4.266221499335352,4.583499268809237,6.4
26,4.253722025568953,4.538436811356745,6.3
27,4.232469122472481,4.482580221598175,6.26
28,4.253722025568953,4.431126810108128,6.32
29,4.201605930005743,4.402128515218472,6.21
30,4.201605930005743,4.370924053601613,6.2
31,4.128721273162078,4.338833054640065,6.09
32,4.128721273162078,4.313593301786665,6.27
33,4.238242684175667,4.300729755140901,6.33
34,4.233926298445103,4.284226414313913,6.45
35,4.154327052873361,4.280877011615059,6.56
36,4.072610153203454,4.262616988257271,6.65
37,4.072610153203454,4.269732076413599,6.72
38,4.072610153203454,4.255824038275377,6.88
39,4.07145996233756,4.250588634665139,7.06
40,4.07145996233756,4.243596997665014,7.04
41,3.994419690155043,4.217154847662752,7.08
42,3.739823924281064,4.191283587706164,7.25
43,3.739823924281064,4.1621303417616575,7.14
44,3.7398239242810636,4.15969923719695,7.1
45,3.7398239242810636,4.101870115277728,7.19
46,3.7398239242810636,4.053534501229895,7.11
47,3.7057257800646375,3.9787994221697742,7.33
48,3.7057257800646375,3.916933310785185,7.31
49,3.5817316280408944,3.8668292346743716,7.36
50,3.574965561758717,3.8465707995906557,7.3
51,3.574965561758717,3.7790997458058784,7.3
52,3.5749655617333924,3.783854700441966,7.26
53,3.5433735979034924,3.7322972402316212,7.36
54,3.5433735979034924,3.702326568523048,7.43
55,3.5433735979034924,3.7059742701571086,7.28
56,3.5433735979034924,3.6856761267440534,7.23
57,3.540346292437952,3.6756044870044295,7.38
58,3.534760371143331,3.658884725157945,7.47
59,3.534760371143331,3.6811451450504626,7.4
60,3.4333290089431587,3.664259830677546,7.4
61,3.4333290089431587,3.640031002913531,7.45
62,3.4419458190662255,3.6470921641232037,7.42
63,3.4195020021506104,3.6292161728647443,7.35
64,3.4195020021506104,3.5985421004674425,7.5
65,3.4060784089476486,3.570522677578981,7.52
66,3.4060784089476486,3.5724936268933605,7.53
67,3.4060784089476486,3.5694601327712663,7.69
68,3.40607840894742,3.5903685478563894,7.66
69,3.40607840894742,3.5625488217571353,7.72
70,3.40607840894742,3.555937322338757,7.66
71,3.4060784089476477,3.553977797862647,7.66
72,3.3574187299958185,3.6309802688475568,7.58
73,3.402860630046218,3.5951162800272685,7.48
74,3.361717912807068,3.5212083576724575,7.63
75,3.361717912807068,3.5302236451233204,7.53
76,3.361717912807068,3.518004007520361,7.5
77,3.361717912807068,3.5236017571726244,7.55
78,3.3581240676160276,3.5070489704868106,7.51
79,3.3581240676160276,3.5071456699932098,7.51
80,3.3581240676160276,3.4850687782105556,7.54
81,3.3581240676160276,3.5013018336274935,7.53
82,3.3581240676160276,3.525341402714056,7.59
83,3.3581240676160276,3.505239381432109,7.67
84,3.3581240676160276,3.4817542971062982,7.65
85,3.3567085991896914,3.454296838080377,7.71
86,3.3567085991896914,3.466283686868222,7.64
87,3.3567085991896914,3.4741121097911627,7.68
88,3.3567085991896914,3.4735410947343404,7.69
89,3.3567085991896914,3.4876283961139434,7.7
90,3.3567085991896914,3.4832706159549542,7.81
91,3.3567085991896914,3.5433005314137875,7.8
92,3.3567085991896914,3.532795488039136,7.82
93,3.3567085991896914,3.4927276081205822,7.81
94,3.373674839393449,3.5173518720253183,7.8
95,3.3675819241463203,3.52389495280242,7.74
96,3.2761899737618734,3.500704258477616,7.72
97,3.3675819241463203,3.545119048237331,7.66
98,3.3675819241463203,3.5250697575240957,7.65
99,3.3675819241463203,3.5553355938837488,7.61
