gen,bestfit,pmean,plen
0,4.376822718242176,8.000000000000004e+99,9.735
1,4.376822718242176,6.250000000000003e+99,9.385
2,4.356447837038999,4.2000000000000017e+99,9.495
3,4.356447837038999,2.1000000000000008e+99,9.74
4,4.340406244674872,8.000000000000001e+98,10.245
5,4.2817384127136515,2e+98,11.075
6,4.286283870772338,5e+97,11.42
7,4.2309462164926686,4.816382430133155,11.995
8,4.178320026670412,5e+97,12.845
9,4.045039140535334,5e+97,13.495
10,4.044981005857896,4.3826117724529805,13.98
11,4.03836269239347,5e+97,14.365
12,4.00193803750216,4.28845101733357,14.415
13,3.9363020454647533,4.2731158125748,14.535
14,3.9363020454647533,5e+97,14.51
15,3.9363020454647533,1e+98,14.47
16,3.9065845305598934,4.113258450639113,14.415
17,3.859394344542045,4.075266534063719,14.47
18,3.859394344542045,5e+97,14.6
19,3.7912932328598195,3.996275587071171,14.72
20,3.7912932328598195,3.9713886178495033,14.625
21,3.822023421160053,3.9405193913434733,14.545
22,3.822023421160053,5e+97,14.55
23,3.7726468955250345,5e+97,14.555
24,3.712330355255555,5e+97,14.435
25,3.5591772522638445,3.8593459773750753,14.525
26,3.6883545015304837,3.842162249565015,14.495
27,3.5009380428100516,3.829971494344824,14.63
28,3.663530907750045,3.8053305060204456,14.59
29,3.6564016980334744,3.7816685973921595,14.6
30,3.65952030955559,3.7682076675343823,14.585
31,3.644471095118358,3.7440218544336505,14.58
32,3.4739585798308914,5e+97,14.61
33,3.4739585798308914,3.7457342669063483,14.625
34,3.4739585798308914,3.696078735452907,14.635
35,3.4739585798308914,3.677197145114832,14.63
36,3.4560336393247475,3.657179829768304,14.655
37,3.4560336393247475,3.641425103170045,14.61
38,3.4739585798308914,3.6276894086155793,14.66
39,3.4617074076684613,5e+97,14.655
40,3.418670796260769,3.6036468740748075,14.65
41,3.3836106986896968,3.5731822459617204,14.64
42,3.383915515229902,3.536600061454958,14.6
43,3.3491749380298903,3.513456243839578,14.59
44,3.3491749380298903,3.504391330780683,14.555
45,3.335501576352216,3.5046798614349424,14.505
46,3.335501576352216,3.4586692983929646,14.595
47,3.335501576352216,3.4329751565127515,14.605
48,3.3173159671363566,3.442131361965728,14.65
49,3.283459146449488,3.453102049061318,14.64
50,3.231818999988774,3.394134372693327,14.655
51,3.282632945249286,3.384797887513396,14.655
52,3.282632945249286,3.3841354933716876,14.665
53,3.2767869052305114,3.3915530465062482,14.675
54,3.2767869052305114,3.3533994079835994,14.615
55,3.2722316071241155,3.3388351735049855,14.67
56,3.268747006104719,5e+97,14.66
57,3.228556862338228,3.3302598413239464,14.67
58,3.215249753267543,3.3173291936008193,14.685
59,3.215249753267543,3.320202796653693,14.675
60,3.215249753267543,3.303117681084633,14.725
61,3.2118404968604546,3.3029376071299428,14.72
62,3.2118404968604546,5e+97,14.7
63,3.2070390957934847,5e+97,14.67
64,3.2070390957934847,3.304292667018183,14.645
65,3.2051515077097803,5e+97,14.65
66,3.1990503363924696,3.289732272300145,14.63
67,3.180070154875852,3.2853404387983587,14.645
68,3.180070154875852,3.2748909613267103,14.66
69,3.180070154875852,3.2762996581467485,14.615
70,3.204324852372303,3.269853222247271,14.56
71,3.1204632121543234,3.2854566357923294,14.55
72,3.1185695149234407,3.2607485951787423,14.565
73,3.1185695149234407,3.2512735253796303,14.56
74,3.0914522361490584,3.2442819069039235,14.515
75,3.0914522361490584,3.2415403857005627,14.56
76,3.0914522361490584,3.2226573472403235,14.635
77,3.0914522361490584,5e+97,14.575
78,3.111849057362727,3.20928638657811,14.6
79,3.095733980748337,3.2077954738921903,14.515
80,3.095733980748337,3.1986413490388674,14.48
81,3.084426380478442,5e+97,14.445
82,3.084426380478442,3.193848854543898,14.465
83,3.084426380478442,3.174219515941287,14.51
84,2.972402259644456,3.156864023962409,14.555
85,2.972402259644456,1.5e+98,14.585
86,2.9634122418128084,3.183172903555336,14.575
87,2.9634122418128084,3.1450515524639524,14.525
88,2.9405882408793316,3.138112345536454,14.49
89,2.937017303192795,5e+97,14.47
90,2.9313709325840995,3.110491100563095,14.495
91,2.9357949012742175,5e+97,14.575
92,2.9357949012742175,5e+97,14.59
93,2.9357949012742175,3.1011951615868103,14.595
94,2.919853574781837,3.0853277592535577,14.6
95,2.9198532761214797,3.069343862466279,14.63
96,2.9198532761214797,3.0500389792081397,14.665
97,2.8978639061785834,3.0420605623789423,14.725
98,2.8788909870318298,3.058134918268978,14.715
99,2.8788909870318298,3.020432413612994,14.725
100,2.912502487093863,3.0216083547705392,14.74
101,2.8874810499660315,5e+97,14.755
102,2.912502487093863,5e+97,14.72
103,2.8695342725748523,3.008571836148535,14.7
104,2.874511954754524,5e+97,14.66
105,2.874511954754524,2.99189975056451,14.635
106,2.8735677944458518,2.9888668854566998,14.61
107,2.8735677944458518,2.9690270998960426,14.635
108,2.8745371452547204,2.961716046047184,14.665
109,2.8745371452547204,2.9700646224634086,14.65
110,2.8745371452547204,2.9535865735901097,14.655
111,2.8745371452547204,2.950591965245163,14.64
