gen,bestfit,pmean,plen
0,1e+100,1.0000000000000004e+100,4.555
1,16.658977180863385,9.950000000000004e+99,4.56
2,15.89264846430528,9.900000000000005e+99,4.595
3,15.89264846430528,9.950000000000004e+99,4.62
4,1e+100,1.0000000000000004e+100,4.615
5,1e+100,1.0000000000000004e+100,4.565
6,1e+100,1.0000000000000004e+100,4.645
7,1e+100,1.0000000000000004e+100,4.62
8,1e+100,1.0000000000000004e+100,4.665
9,1e+100,1.0000000000000004e+100,4.58
10,1e+100,1.0000000000000004e+100,4.64
11,1e+100,1.0000000000000004e+100,4.655
12,1e+100,1.0000000000000004e+100,4.66
13,1e+100,1.0000000000000004e+100,4.725
14,1e+100,1.0000000000000004e+100,4.695
15,1e+100,1.0000000000000004e+100,4.725
16,1e+100,1.0000000000000004e+100,4.665
17,1e+100,1.0000000000000004e+100,4.665
18,1e+100,1.0000000000000004e+100,4.605
19,1e+100,1.0000000000000004e+100,4.6
20,1e+100,1.0000000000000004e+100,4.655
21,1e+100,1.0000000000000004e+100,4.59
22,16.457378094034436,9.850000000000005e+99,4.585
23,16.384337717308256,9.650000000000004e+99,4.62
24,16.384337717308256,9.300000000000004e+99,4.645
25,16.384337717308256,9.150000000000005e+99,4.645
26,16.384337717308256,8.800000000000005e+99,4.635
27,16.230163550488598,8.300000000000004e+99,4.665
28,16.230163550488598,7.950000000000004e+99,4.665
29,16.230163550488598,7.550000000000003e+99,4.65
30,16.230163550488598,6.600000000000003e+99,4.64
31,14.727075086536301,5.250000000000003e+99,4.525
32,14.44983970540234,4.300000000000002e+99,4.56
33,14.44983970540234,3.250000000000001e+99,4.505
34,14.44983970540234,1.9000000000000007e+99,4.52
35,14.44983970540234,1.3000000000000005e+99,4.505
36,14.44983970540234,9.500000000000002e+98,4.545
37,14.44983970540234,1.4500000000000006e+99,4.65
38,14.375779127977232,1.3000000000000005e+99,4.65
39,14.244844923233664,8.000000000000001e+98,4.58
40,13.348553520326261,8.500000000000002e+98,4.585
41,13.903077656751472,1.0500000000000003e+99,4.615
42,13.903069025392403,1.0000000000000003e+99,4.605
43,13.903069025392403,1.1500000000000003e+99,4.62
44,13.651419078721482,7.500000000000002e+98,4.61
45,13.651419078721482,9.000000000000003e+98,4.555
46,13.899532059036378,8.000000000000001e+98,4.52
47,13.647050280637881,6.500000000000001e+98,4.505
48,13.899532059036378,6.000000000000002e+98,4.51
49,13.651419078721482,9.000000000000003e+98,4.525
50,13.542219990891155,9.500000000000002e+98,4.57
51,13.404199170844505,7.500000000000002e+98,4.56
52,13.542219990891155,6.500000000000001e+98,4.545
53,13.542220541234318,1.1000000000000004e+99,4.56
54,13.542220541234318,8.000000000000001e+98,4.565
55,13.542220541234318,1.0500000000000003e+99,4.595
56,13.33378004847108,7.500000000000002e+98,4.575
57,12.75019415058669,7.000000000000001e+98,4.585
58,12.75019415058669,5.500000000000001e+98,4.555
59,13.36069554217185,8.500000000000002e+98,4.58
60,13.399050354106432,1.1500000000000003e+99,4.54
61,13.399050354106432,8.500000000000002e+98,4.575
62,13.249328991374975,6.500000000000001e+98,4.57
63,12.567805842664464,7.000000000000001e+98,4.595
64,12.567805842664464,7.500000000000002e+98,4.625
65,12.567805842664464,6.500000000000001e+98,4.575
66,12.567805842664464,7.500000000000002e+98,4.53
67,12.567805842664464,6.500000000000001e+98,4.535
68,12.567805842664464,9.500000000000002e+98,4.685
69,12.567805842664464,7.500000000000002e+98,4.665
70,13.065557407158868,6.500000000000001e+98,4.635
71,13.065557407158868,5.0000000000000004e+98,4.61
72,12.559432135232113,7.500000000000002e+98,4.59
73,12.559432135232113,6.000000000000002e+98,4.635
74,12.557294670191341,7.000000000000001e+98,4.63
75,12.557294670191341,5.500000000000001e+98,4.565
76,12.46434257545356,8.000000000000001e+98,4.685
77,12.288357128949999,5.500000000000001e+98,4.625
78,12.334906495728196,3.5e+98,4.63
79,11.695789407426663,5.500000000000001e+98,4.675
80,11.695789407426663,5.0000000000000004e+98,4.65
81,11.61513676210888,5.500000000000001e+98,4.635
82,11.61513676210888,6.000000000000002e+98,4.655
83,11.61513676210888,6.500000000000001e+98,4.61
84,11.61513676210888,6.000000000000002e+98,4.635
85,11.519793451587063,4e+98,4.64
86,11.695789407426663,3.5e+98,4.615
87,10.646998686904034,5.500000000000001e+98,4.61
88,10.646998686904034,6.500000000000001e+98,4.68
89,10.646998686904034,4.5e+98,4.665
90,10.646998686904034,4.5e+98,4.71
91,10.646998686904034,4e+98,4.68
92,10.646998686904034,8.000000000000001e+98,4.665
93,10.646998686904034,6.000000000000002e+98,4.665
94,10.478236201572898,1.0000000000000003e+99,4.575
95,10.478236201572898,6.000000000000002e+98,4.595
96,10.424259748522813,1.0000000000000003e+99,4.63
97,10.424259748522813,7.500000000000002e+98,4.615
98,10.478236201572898,5.500000000000001e+98,4.56
99,10.478236201572898,7.500000000000002e+98,4.665
100,10.47419678290202,6.000000000000002e+98,4.71
101,10.47419678290202,4.5e+98,4.72
102,10.322738922370457,5.500000000000001e+98,4.735
103,10.322738922370457,4e+98,4.74
104,10.322738922370457,4e+98,4.725
105,10.275655002301429,3.5e+98,4.715
106,10.190260971477429,2.5e+98,4.71
107,10.140590913622336,4.5e+98,4.71
108,10.140590913622336,5.0000000000000004e+98,4.705
109,9.951306244991535,5.500000000000001e+98,4.655
110,9.951306244991535,7.000000000000001e+98,4.68
111,9.974819842218771,6.000000000000002e+98,4.66
112,9.974819842218771,5.0000000000000004e+98,4.595
113,9.974819842218771,7.000000000000001e+98,4.58
114,9.886225428360259,3e+98,4.585
115,9.886225428360259,3e+98,4.63
116,9.886225428360259,6.000000000000002e+98,4.64
117,9.886225428360259,5.500000000000001e+98,4.61
118,9.707145880375426,4.5e+98,4.59
119,9.751205355310518,6.000000000000002e+98,4.62
120,9.090168527526044,5.500000000000001e+98,4.575
121,9.090168527526044,6.000000000000002e+98,4.67
122,9.090168527526044,7.500000000000002e+98,4.63
123,9.707145880375426,5.0000000000000004e+98,4.6
124,9.568784024153704,7.500000000000002e+98,4.655
125,9.532449106660925,6.000000000000002e+98,4.61
126,9.699427553223707,6.000000000000002e+98,4.605
127,9.657607550403833,7.500000000000002e+98,4.64
128,9.478735458259898,3.5e+98,4.685
129,9.657607550403833,7.500000000000002e+98,4.72
130,9.4787354582599,5.0000000000000004e+98,4.69
131,9.4787354582599,4.5e+98,4.725
132,9.4787354582599,5.0000000000000004e+98,4.675
133,9.4787354582599,7.000000000000001e+98,4.685
134,9.453306813620932,5.500000000000001e+98,4.7
135,9.395315864422198,4e+98,4.71
136,9.157221389483688,4e+98,4.71
137,9.157221389483688,6.500000000000001e+98,4.705
138,9.157221389483688,4e+98,4.68
139,9.157221389483688,4e+98,4.685
140,9.157221389483688,4e+98,4.665
141,9.073411097275036,5.0000000000000004e+98,4.71
142,9.073411097275036,5.500000000000001e+98,4.65
143,9.073411097275036,4.5e+98,4.635
144,9.073411097275036,3e+98,4.575
145,9.073411097275036,5.0000000000000004e+98,4.645
146,9.073411097275036,5.500000000000001e+98,4.625
147,9.073411097275036,6.500000000000001e+98,4.69
148,9.073411097275036,5.500000000000001e+98,4.725
149,9.073411097275036,6.500000000000001e+98,4.745
150,9.073411097275036,6.500000000000001e+98,4.72
151,9.073411097275036,7.000000000000001e+98,4.72
152,9.073411097275036,6.500000000000001e+98,4.78
153,9.073411097275036,5.500000000000001e+98,4.78
154,9.073411097275036,7.000000000000001e+98,4.785
155,9.073411097275036,5.500000000000001e+98,4.75
156,9.073411097275036,6.000000000000002e+98,4.69
157,9.073411097275036,1.0000000000000003e+99,4.735
158,9.073411097275036,8.000000000000001e+98,4.74
159,9.073411097275036,6.000000000000002e+98,4.73
160,9.073411097275036,7.000000000000001e+98,4.705
161,9.073411097275036,1.0000000000000003e+99,4.72
162,9.073411097275036,4.5e+98,4.695
163,9.073411097275036,4e+98,4.69
164,9.073411097275036,6.500000000000001e+98,4.68
165,9.073411097275036,2.5e+98,4.63
166,9.073411097275036,3e+98,4.665
167,9.073411097275036,5.0000000000000004e+98,4.715
168,9.073411097275036,3e+98,4.655
169,9.073411097275036,4.5e+98,4.62
170,9.073411097275036,6.000000000000002e+98,4.59
171,9.073411097275036,4e+98,4.59
172,9.073411097275036,6.000000000000002e+98,4.58
173,9.073411097275036,3.5e+98,4.6
174,9.073411097275036,4.5e+98,4.62
175,9.073411097275036,7.000000000000001e+98,4.645
176,9.073411097275036,9.000000000000003e+98,4.66
177,9.073411097275036,6.000000000000002e+98,4.665
178,9.073411097275036,2e+98,4.7
179,9.073411097275036,5.500000000000001e+98,4.67
180,9.073411097275036,9.500000000000002e+98,4.675
181,9.073411097275036,4e+98,4.69
182,9.073411097275036,6.500000000000001e+98,4.685
183,9.073411097275036,6.500000000000001e+98,4.705
184,9.073411097275036,3.5e+98,4.69
185,9.073411097275036,7.500000000000002e+98,4.77
186,9.135844506148807,7.500000000000002e+98,4.805
187,9.135844506148807,4e+98,4.81
188,9.135844506148807,3.5e+98,4.775
189,9.135844506148807,8.000000000000001e+98,4.7
190,9.135844506148807,5.500000000000001e+98,4.73
191,9.135844506148807,7.500000000000002e+98,4.695
192,9.135844506148807,1.0000000000000003e+99,4.73
193,9.135844506148807,5.0000000000000004e+98,4.745
194,9.135844506148807,6.000000000000002e+98,4.74
195,9.135844506148807,7.000000000000001e+98,4.82
196,9.135844506148807,2.5e+98,4.75
197,9.135844506148807,3.5e+98,4.735
198,9.135844506148807,4.5e+98,4.775
199,9.073411097275036,2.5e+98,4.745
200,9.073411097275036,5.0000000000000004e+98,4.78
201,9.073411097275036,5.500000000000001e+98,4.77
202,9.073411097275036,4e+98,4.775
203,9.025877563711145,3e+98,4.76
204,9.025877563711145,2.5e+98,4.755
205,9.025877563711145,4e+98,4.735
206,9.025877563711145,4e+98,4.715
207,9.025877563711145,2e+98,4.75
208,9.025877563711145,7.500000000000002e+98,4.75
209,9.025877563711145,5.0000000000000004e+98,4.705
210,9.025877563711145,3.5e+98,4.615
211,8.484236936966274,5.500000000000001e+98,4.67
212,8.48352507322452,1.0000000000000003e+99,4.72
213,8.484236936966274,1.0500000000000003e+99,4.71
214,8.484236936966274,7.500000000000002e+98,4.665
215,9.025877563711145,4.5e+98,4.63
216,9.025877563711145,6.500000000000001e+98,4.625
217,8.813732854915273,6.000000000000002e+98,4.57
218,8.813732854915273,5.0000000000000004e+98,4.63
219,8.813732854915273,3.5e+98,4.675
220,8.813732854915273,4e+98,4.715
221,8.813732854915273,8.500000000000002e+98,4.675
222,8.753899379920872,7.000000000000001e+98,4.675
223,8.805542614056785,6.500000000000001e+98,4.64
