gen,bestfit,pmean,plen
0,3.985059708325753,6.000483244391557,2.795
1,3.951189605232821,5.674233829209161,3.01
2,3.951189605232821,5.3161442066397,3.29
3,3.951189605232821,5.031641487771597,3.45
4,3.951189605232821,4.817868836090127,3.57
5,3.9442616482048387,4.646561778863997,3.665
6,3.9292399856267357,4.537968514291228,3.735
7,3.918439548952422,4.4145552116001285,3.8
8,3.81600065579544,4.27334882400132,3.895
9,3.776010596493011,4.1727925546710605,3.835
10,3.776010596493011,4.09283619881245,4.015
11,3.8622203789637473,4.018422594847141,4.09
12,3.7709822519931944,3.98524266245223,4.12
13,3.6296129215663604,3.9541513911350425,4.265
14,3.6296129215663604,3.93139856985414,4.37
15,3.6296129215663604,3.9168380721384946,4.455
16,3.539982198596607,3.8944663071223333,4.48
17,3.539982198596607,3.880153670047296,4.51
18,3.539982198596607,3.8739768585450594,4.52
19,3.539982198596607,3.865623652136426,4.52
20,3.539982198596607,3.8490067652391486,4.575
21,3.490835133291257,3.8241271081448946,4.61
22,3.490835133291257,3.8342218446323617,4.605
23,3.539982198596607,3.811768428208054,4.64
24,3.4001292700631276,3.78017275578963,4.69
25,3.327252044511839,3.7800741247446634,4.655
26,3.327252044511839,3.7708772601820586,4.62
27,3.327252044511839,3.7511952258557035,4.655
28,3.2844257675587762,3.7748064486385853,4.64
29,3.2844257675587762,3.8019027223819415,4.71
30,3.2844257675587762,3.737562701614364,4.675
31,3.2844257675587762,3.7360821716967347,4.595
32,3.1920055570672745,3.6746571217312636,4.6
33,3.1920055570672745,3.662088686185046,4.59
34,3.2185917020967967,3.639564692344337,4.555
35,3.19085504533626,3.6061642751514027,4.565
36,3.075554763449038,3.563489807059818,4.56
37,3.075554763449038,3.54368986408823,4.575
38,3.075554763449038,3.5301197709432315,4.61
39,3.075554763449038,3.5463891487491184,4.66
40,3.075554763449038,3.5039259329441426,4.685
41,3.075554763449038,3.4932810418168208,4.635
42,3.075554763449038,3.462194754678576,4.63
43,3.075554763449038,3.4411223986096173,4.625
44,3.075554763449038,3.436097264082964,4.62
45,3.075554763449038,3.390229828114743,4.64
46,3.0530496691513895,3.358719056256329,4.665
47,3.0530496691513895,3.334094758794647,4.64
48,3.021597123453368,3.34351962552617,4.66
49,3.021597123453368,3.4337150763438262,4.625
50,3.021597123453368,3.3960216309921867,4.62
51,3.021597123453368,3.4326961328887693,4.62
52,3.021597123453368,3.3900611966585323,4.575
53,3.021597123453368,3.3462130912153087,4.65
54,3.0180279884451227,3.266217319532249,4.68
55,3.0180279884451227,3.306958993727735,4.68
56,3.0034011376832916,3.304781615614458,4.63
57,3.0167773162682305,3.3320588221870353,4.6
58,3.0167773162682305,3.262666919320479,4.635
59,3.0167773162682305,3.2604140326225233,4.665
60,3.01677731626823,3.3030398636220912,4.705
61,3.01677731626823,3.286542726349998,4.745
62,3.01677731626823,3.3217907331468526,4.75
63,3.00414496703257,3.3164504592672284,4.725
64,3.0167773162682305,3.249592795351373,4.78
65,3.015915860578681,3.3146861521890827,4.765
66,3.015915860578681,3.3672433443928775,4.7
67,3.015915860578681,3.3568988405307034,4.655
68,3.01677731626823,3.3586406602235246,4.665
69,3.01677731626823,3.288409464734492,4.61
70,3.0069987350891716,3.369506270837172,4.615
71,3.0069987350891716,3.330263444810248,4.67
72,3.0069987350891716,3.3204110632048685,4.755
73,3.015915860578681,3.2859219199723846,4.745
74,3.0041472433318988,3.2162185296045744,4.73
75,3.0069987350891716,3.292301276135011,4.695
76,3.006998735089171,3.2780476199573156,4.705
77,3.006998735089171,3.3067284479737418,4.695
78,3.006998735089171,3.2955536085513857,4.74
79,3.006998735089171,3.305740549677101,4.785
80,3.0069987350891694,3.3766470454348787,4.745
81,3.0069987350891694,3.3773580332984596,4.74
82,3.0033993945061486,3.517767899392238,4.75
83,3.0033993945061486,3.4245288077010296,4.72
84,3.0069987350891694,3.458672792872582,4.735
85,3.0069987350891694,3.3752631504668487,4.725
86,2.9606986502426937,3.319260841830839,4.765
87,2.9606986502426937,3.3310605627322034,4.81
88,2.9606986502426937,3.403019460435782,4.735
89,2.9606986502426937,3.421580115667092,4.755
90,2.9606986502426937,3.38521933572931,4.77
91,2.9606986502426937,3.376755742780486,4.795
92,2.9606986502426937,3.4574777919305033,4.76
93,2.9606986502426937,3.4813076069678535,4.65
94,2.9606986502426937,3.41252823152286,4.75
95,2.9606986502426933,3.3156712085925424,4.75
96,2.9606986502426933,3.3745313474399383,4.68
97,2.9606986502426933,3.4242630702342347,4.72
98,2.9606986502426933,3.3764103581186298,4.695
99,2.9606986502426933,3.393530667054872,4.715
100,2.9606986502426933,3.4344727099344396,4.675
101,2.9606986502426933,3.403749860622418,4.695
102,2.9606986502426933,3.335058054939155,4.715
103,2.9606986502426933,3.2893051394948567,4.695
104,2.9606986502426933,3.3181752689365505,4.67
105,2.9606986502426933,3.352162931509036,4.685
106,2.9606986502426933,3.3097373178839895,4.675
107,2.9606986502426933,3.3245223641103503,4.74
108,2.9606986502426933,3.4323131701839453,4.71
109,2.9606986502426933,3.355822853210163,4.72
110,2.9606986502426933,3.2459470216197017,4.695
111,2.9606986502426933,3.2820157185784207,4.76
112,2.9606986502426933,3.265965708670676,4.765
113,2.9606986502426933,3.2567026409191158,4.73
114,2.9606986502426933,3.255983322469059,4.805
115,2.9606986502426933,3.3485421944653893,4.76
116,2.9606986502426933,3.3101369744094864,4.76
117,2.9606986502426933,3.3613438424645965,4.765
118,2.9606986502426933,3.4398176893412638,4.7
119,2.9606986502426933,3.4785693999553335,4.655
120,2.9606986502426933,3.4336138586575355,4.72
121,2.9606986502426933,3.3285088216020062,4.735
122,2.9587444657131425,3.3658449142319706,4.725
123,2.9587444657131425,3.380778459981721,4.695
124,2.958744465713144,3.43188284774632,4.715
125,2.958744465713144,3.425897472986169,4.715
126,2.958744465713144,3.5327159255432816,4.735
127,2.958744465713144,3.515956660539641,4.73
128,2.958744465713144,3.4740648881916063,4.705
129,2.958744465713144,3.4719001747928826,4.68
130,2.958744465713144,3.4760965440825355,4.645
131,2.958744465713144,3.4310074119898553,4.635
132,2.9606986502426937,3.377757331535555,4.7
133,2.9606986502426915,3.415471391723382,4.685
134,2.9606986502426937,3.3727961356430147,4.73
135,2.9606986502426937,3.375016991853818,4.695
136,2.9606986502426937,3.368432543012452,4.695
137,2.9606986502426937,3.3362412525687692,4.745
138,2.9606986502426937,3.2931367502569726,4.77
139,2.9606986502426933,3.3111561576588526,4.795
140,2.9606986502426933,3.353896968694209,4.795
141,2.9606986502426933,3.3455221814603417,4.83
142,2.9587444657131434,3.367563259897291,4.79
143,2.9587444657131434,3.342171440618261,4.79
144,2.9587444657131434,3.3929328826078065,4.71
145,2.9587444657131434,3.4243640704780076,4.705
146,2.9587444657131434,3.3926902687680593,4.69
147,2.9587444657131434,3.3477738166211766,4.73
148,2.9606986502426933,3.4354269429087028,4.775
149,2.9606986502426933,3.3667612835218304,4.79
150,2.9606986502426933,3.3375932393965315,4.79
151,2.9606986502426933,3.3166275015032074,4.81
152,2.9606986502426933,3.367028562373848,4.76
153,2.9606986502426933,3.395014412419617,4.755
154,2.9606986502426933,3.3989024954632088,4.715
155,2.9587444657131434,3.423898624115142,4.74
156,2.9587444657131434,3.399691784089861,4.76
157,2.9587444657131434,3.3458404804775133,4.795
158,2.9587444657131434,3.3391527232433287,4.8
159,2.9587444657131434,3.419847502982594,4.76
160,2.9587444657131434,3.4900500731061275,4.715
161,2.9587444657131434,3.5381496520444444,4.69
162,2.9587444657131434,3.459101502182837,4.68
163,2.9587444657131434,3.3801389803175486,4.75
164,2.9587444657131434,3.4426274680119295,4.72
165,2.9587444657131434,3.3842305874343976,4.76
166,2.9587444657131434,3.3343098141149796,4.785
167,2.9587444657131434,3.333098318004586,4.755
168,2.9587444657131434,3.299056704621916,4.835
169,2.9587444657131434,3.4234841906058193,4.8
170,2.9587444657131434,3.3365855574169085,4.775
171,2.9587444657131434,3.437717342331892,4.71
172,2.9587444657131434,3.4156349024775765,4.68
173,2.9587444657131434,3.383059643719293,4.735
174,2.9587444657131425,3.426081959886858,4.775
175,2.9587444657131425,3.4822127708422896,4.7
176,2.9298648467673356,3.4068415948611834,4.71
177,2.9298648467673356,3.4789959823324867,4.735
178,2.9298648467673356,3.4304242563673957,4.805
179,2.9298648467673356,3.4643504891795476,4.75
180,2.9587444657131425,3.453723539729338,4.71
181,2.9587444657131425,3.522707766634016,4.695
182,2.9587444657131425,3.489463234904308,4.725
183,2.9587444657131434,3.4570860911347654,4.785
184,2.9587444657131425,3.464556764643606,4.755
185,2.9587444657131425,3.4373038913023857,4.72
186,2.9587444657131425,3.469248539148757,4.72
187,2.9587444657131425,3.557191546196256,4.71
188,2.9587444657131425,3.467487495294617,4.755
189,2.9587444657131425,3.4291799720535128,4.765
190,2.9587444657131425,3.35683034094553,4.81
191,2.958744465713142,3.3699604528608553,4.805
192,2.958744465713142,3.357133675146163,4.78
193,2.958744465713142,3.3486321395199186,4.805
194,2.958744465713142,3.3602921579267178,4.77
195,2.958744465713142,3.4808193803574534,4.715
196,2.958744465713142,3.480141510506407,4.655
197,2.9561409089641804,3.4147330971929764,4.76
198,2.958744465713142,3.3734406378655803,4.745
199,2.958744465713142,3.3877583772881064,4.745
200,2.958744465713142,3.330499228404248,4.775
201,2.958744465713142,3.409450481408263,4.8
202,2.958744465713142,3.4731553564357496,4.765
203,2.958744465713142,3.4937593450079243,4.705
204,2.958744465713142,3.5698262276155783,4.625
205,2.958744465713142,3.636728435419859,4.67
206,2.958744465713142,3.5875823966834997,4.725
207,2.958744465713142,3.4117777335621344,4.75
208,2.958744465713142,3.4790541118001834,4.735
209,2.958744465713142,3.411628028151655,4.76
210,2.958744465713142,3.378615943655628,4.75
211,2.958744465713142,3.449727607052943,4.66
212,2.958744465713142,3.4089412117162117,4.67
213,2.958744465713142,3.3953220815402387,4.625
214,2.958744465713142,3.363509874912391,4.73
215,2.958744465713142,3.2914705405684264,4.725
216,2.958744465713142,3.322022154068161,4.72
217,2.958744465713142,3.3739624491141473,4.675
218,2.958744465713142,3.2899811864026702,4.735
219,2.958744465713142,3.2413938007211907,4.69
220,2.958744465713142,3.3036244279102944,4.71
221,2.958744465713142,3.341790127843504,4.705
222,2.958744465713142,3.4209939625262815,4.745
223,2.958744465713142,3.390136790001557,4.7
224,2.958744465713142,3.4130342508204836,4.725
225,2.958744465713142,3.339216383431003,4.805
226,2.958744465713142,3.3511175167297864,4.79
227,2.9320977530903507,3.384268368888854,4.785
228,2.9587444657131425,3.2686204637394396,4.76
229,2.9587444657131425,3.2520440725412527,4.815
230,2.9587444657131425,3.370389903820243,4.755
231,2.9587444657131425,3.334599157966414,4.765
232,2.9587444657131425,3.3221414842805466,4.77
233,2.9587444657131425,3.333273134069302,4.8
234,2.9587444657131425,3.447820173130469,4.75
235,2.9587444657131425,3.3267891807150978,4.755
236,2.9587444657131425,3.3988309110279733,4.755
237,2.9587444657131425,3.396265407544522,4.75
238,2.9587444657131425,3.3316359699688634,4.77
239,2.944201889013942,3.3004217042844353,4.825
240,2.944201889013942,3.305582501718264,4.81
241,2.944201889013942,3.4706512902634445,4.74
242,2.944201889013942,3.423249051356534,4.765
243,2.944201889013942,3.3415325159743245,4.81
244,2.944201889013942,3.378258568497653,4.77
245,2.944201889013942,3.3306864751882843,4.81
246,2.944201889013942,3.324105751048442,4.8
